course_code,course_name,department,credits,offering_count,teacher_count,total_enrollment,avg_class_capacity,campus_count,primary_course_type,dominant_time_bucket,weekend_offering_ratio,virtual_schedule_ratio,community_avg_rating,community_review_count,community_avg_comment_length,latest_review_at
KE1901,体育N（1）,体育系,2.0,2,2,0,20.0,1,必修,morning,0.0,0.0,,,,
KE1903,体育N（3）,体育系,2.0,2,2,42,21.0,1,必修,mixed,0.0,0.0,5.0,1.0,28.0,2025/06/07 12:44
KE1905,体育N（5）,体育系,2.0,2,2,39,20.0,1,必修,mixed,0.0,0.0,,,,
KE2601,运动训练学,体育系,2.0,1,1,24,24.0,1,必修,morning,0.0,0.0,,,,
KE2602,运动技能学习与控制,体育系,2.0,1,1,23,24.0,1,必修,morning,0.0,0.0,,,,
KE2603,体育竞赛学,体育系,2.0,1,1,23,24.0,1,必修,morning,0.0,0.0,,,,
KE2621,专项专修（3）,体育系,6.0,8,8,47,2.89,1,必修,mixed,1.0,0.0,,,,
PE001C01,篮球,体育系,1.0,35,14,436,34.0,1,必修,morning,0.0,0.0,4.735,373.0,138.6,2026/05/06 19:44
PE001C02,网球,体育系,1.0,14,5,414,34.0,1,必修,morning,0.0,0.0,4.717,180.0,151.0,2026/04/25 19:11
PE001C03,足球,体育系,1.0,2,2,14,34.0,1,必修,morning,0.0,0.0,4.679,106.0,96.2,2026/03/03 17:07
PE001C04,定向越野,体育系,1.0,3,1,68,34.0,1,必修,afternoon,0.0,0.0,4.935,46.0,219.2,2026/03/05 19:28
PE001C05,形体舞蹈,体育系,1.0,1,1,16,34.0,1,必修,afternoon,0.0,0.0,3.939,33.0,173.2,2026/03/09 18:45
PE001C06,太极拳,体育系,1.0,3,1,54,34.0,1,必修,afternoon,0.0,0.0,3.633,30.0,158.5,2026/03/02 18:47
PE001C08,羽毛球,体育系,1.0,4,3,227,34.0,1,必修,afternoon,0.0,0.0,4.01,97.0,157.9,2026/03/15 22:10
PE001C09,棒球,体育系,1.0,2,2,14,34.0,1,必修,mixed,0.0,0.0,2.353,34.0,242.5,2026/04/02 03:35
PE001C10,乒乓球,体育系,1.0,16,6,761,34.0,1,必修,morning,0.0,0.0,4.617,133.0,158.9,2026/02/23 00:03
PE001C11,排球,体育系,1.0,7,3,109,34.0,1,必修,morning,0.0,0.0,4.687,198.0,193.1,2026/05/06 20:52
PE001C13,女子街舞,体育系,1.0,3,1,69,34.0,1,必修,morning,0.0,0.0,4.242,33.0,166.4,2026/03/09 18:46
PE001C16,瑜伽,体育系,1.0,2,2,92,34.0,1,必修,mixed,0.0,0.0,4.437,71.0,149.9,2026/03/20 17:27
PE001C17,杨式太极拳,体育系,1.0,3,1,109,34.0,1,必修,morning,0.0,0.0,4.936,47.0,135.0,2026/04/08 16:02
PE001C18,手球,体育系,1.0,4,1,48,34.0,1,必修,afternoon,0.0,0.0,4.828,64.0,162.7,2026/02/09 12:44
PE001C19,橄榄球,体育系,1.0,1,1,1,34.0,1,必修,morning,0.0,0.0,4.917,12.0,149.9,2026/02/22 22:20
PE001C20,游泳基础,体育系,1.0,16,5,595,17.94,1,必修,morning,0.0,0.0,4.675,114.0,152.9,2026/03/05 13:04
PE001C22,导引养生,体育系,1.0,1,1,23,34.0,1,必修,afternoon,0.0,0.0,4.892,37.0,160.5,2026/01/13 16:04
PE001C26,激光射击,体育系,1.0,5,2,136,20.0,1,必修,mixed,0.0,0.0,3.0,7.0,176.6,2026/05/03 17:27
PE001C27,拉丁舞,体育系,1.0,1,1,4,34.0,1,必修,morning,0.0,0.0,3.778,18.0,182.4,2026/01/06 20:02
